TIP_DATETIME,ORIGIN,MASS,TRUCK_ID,ROCKY_RATIO
2024-07-25T11:42:30.000000,ZONE4,261.7,DT15,2.144
2024-07-25T11:48:30.000000,ZONE4,244.7,DT6,2.147
2024-07-25T11:55:30.000000,ZONE4,253.4,DT18,2.197
2024-07-25T12:00:30.000000,ZONE9,257.8,DT23,3.042
2024-07-25T12:06:30.000000,ZONE4,258.3,DT18,2.126
2024-07-25T12:11:30.000000,ZONE4,258.7,DT23,2.201
2024-07-25T12:16:30.000000,ZONE9,261.9,DT28,3.036
2024-07-25T12:20:30.000000,ZONE9,252,DT17,3.015
2024-07-25T12:24:30.000000,ZONE4,259.7,DT18,2.184
2024-07-25T12:36:30.000000,ZONE9,268.5,DT32,3.098
2024-07-25T12:40:30.000000,ZONE4,242,DT6,2.169
2024-07-25T12:44:30.000000,ZONE9,263,DT5,3.051
2024-07-25T12:49:30.000000,ZONE4,252.3,DT18,2.152
2024-07-25T12:52:30.000000,ZONE9,264.2,DT29,3.014
2024-07-25T12:56:30.000000,ZONE4,262.5,DT32,2.15
2024-07-25T13:00:30.000000,ZONE9,265,DT28,3.075
2024-07-25T13:04:30.000000,ZONE4,256.3,DT18,2.167
2024-07-25T13:09:30.000000,ZONE27,227.5,DT19,2.046
2024-07-25T13:12:30.000000,ZONE27,247.1,DT17,2.055
2024-07-25T13:28:30.000000,ZONE27,240.9,DT25,2.056
2024-07-25T13:31:30.000000,ZONE4,267.4,DT18,2.156
2024-07-25T13:35:30.000000,ZONE11,230.2,DT15,4.02
2024-07-25T13:39:30.000000,ZONE9,256.6,DT20,3.025
2024-07-25T13:43:30.000000,ZONE4,243.5,DT18,2.183
2024-07-25T13:51:30.000000,ZONE9,259.3,DT31,3.084
2024-07-25T13:55:30.000000,ZONE9,253,DT23,3.055
2024-07-25T13:59:30.000000,ZONE4,261.4,DT18,2.132
2024-07-25T14:02:30.000000,ZONE9,266.7,DT5,3.055
2024-07-25T14:07:30.000000,ZONE9,277.1,DT7,3.072
2024-07-25T14:12:30.000000,ZONE4,248.5,DT18,2.146
2024-07-25T14:17:30.000000,ZONE9,262.8,DT33,3.057
2024-07-25T14:21:30.000000,ZONE9,246.3,DT13,3.078
2024-07-25T14:27:30.000000,ZONE4,253.6,DT18,2.196
2024-07-25T14:30:30.000000,ZONE9,271.6,DT1,3.041
2024-07-25T14:35:30.000000,ZONE26,234.5,DT12,1.043
2024-07-25T14:40:30.000000,ZONE4,239.2,DT1,2.131
2024-07-25T14:45:30.000000,ZONE9,268.7,DT23,3.093
2024-07-25T14:51:30.000000,ZONE4,242.1,DT1,2.215
2024-07-25T14:58:30.000000,ZONE4,251.6,DT26,2.187
2024-07-25T15:01:30.000000,ZONE9,256.7,DT7,3.074
2024-07-25T15:06:30.000000,ZONE4,251.3,DT1,2.164
2024-07-25T15:10:30.000000,ZONE9,248.4,DT19,3.075
2024-07-25T15:14:30.000000,ZONE7,256,DT13,2.048
2024-07-25T15:18:30.000000,ZONE7,268.5,DT18,2.027
2024-07-25T15:22:30.000000,ZONE4,247.6,DT1,2.21
2024-07-25T15:29:30.000000,ZONE7,258.6,DT27,2.02
2024-07-25T15:33:30.000000,ZONE7,250.8,DT23,2.083
2024-07-25T15:38:30.000000,ZONE4,258,DT1,2.185
2024-07-25T15:42:30.000000,ZONE7,255.2,DT12,2.06
2024-07-25T15:46:30.000000,ZONE11,248.2,DT32,4.07
2024-07-25T15:57:30.000000,ZONE26,250,DT6,1.061
2024-07-25T16:00:30.000000,ZONE10,241.7,DT5,1.011
2024-07-25T16:08:30.000000,ZONE26,237.7,DT28,1.046
2024-07-25T16:11:30.000000,ZONE10,243.6,DT27,1.016
2024-07-25T16:35:30.000000,ZONE11,239.2,DT1,4.088
2024-07-25T16:40:30.000000,ZONE30,259.5,DT33,2.007
